Corrected_Strain Ht_.in. Ht_.cm. Yld_.bu.a. Yld_.kg.ha. Moisture Protein Oil Fiber X100_sdwt_.g.
DS11-12066 25 63.5 38.8 2609.3 6.44 29.95 21.94 4.9 13.78
DS11-12069 24 60.96 38.9 2616.03 6.66 29.25 21.72 5.02 13.18
DS11-12073 25 63.5 45 3026.25 6.83 31.2 21.39 4.82 14.21
DS11-12074 26 66.04 36.3 2441.18 6.97 30.45 20.75 5.04 12.43
DS11-12077 24 60.96 36.1 2427.73 6.84 27.94 21.85 5.09 13.78
DS11-12086 28 71.12 37.4 2515.15 6.82 29.36 21.5 5.02 12.66
LD02-9050 32 81.28 41 2757.25 6.72 32.95 19.9 4.86 14.18
DS11-13003 31 78.74 48.9 3288.53 6.79 31.29 21.29 4.81 15.07
DS11-13005 34 86.36 55.4 3725.65 6.66 32.48 20.38 4.87 15.05
DS11-13008 36 91.44 43 2891.75 6.65 33.13 20.52 4.77 15.3
DS11-13009 31 78.74 41.1 2763.98 6.39 32.16 20.66 4.87 13.24
DS11-13012 33 83.82 49.8 3349.05 6.35 31.76 20.19 4.93 16.25
DS11-13013 32 81.28 40.2 2703.45 6.39 31.35 20.62 4.95 15.02
DS11-13014 33 83.82 41.8 2811.05 6.63 32.41 20.88 4.76 15.13
DS11-13016 33 83.82 42.6 2864.85 6.4 32.19 20.27 4.93 13.06
DS11-13017 40 101.6 50.5 3396.13 6.43 32.33 20.29 4.88 14.47
DS11-13018 34 86.36 50.6 3402.85 6.37 31.51 20.73 4.97 12.98
DS11-13019 36 91.44 47.2 3174.2 6.5 32.79 20.73 4.76 14.33
DS11-13020 35 88.9 48.6 3268.35 6.51 32.72 20.72 4.78 15.28
DS11-13021 31 78.74 38.8 2609.3 6.73 33.57 19.48 4.84 13.09
DS11-13022 34 86.36 49 3295.25 6.56 31.57 20.49 4.94 14.99
DS11-13023 34 86.36 56.5 3799.63 6.51 31.08 20.94 4.95 16.19
DS11-13024 41 104.14 49.2 3308.7 6.53 31.67 20.58 4.92 14.33
DS11-13026 36 91.44 45.1 3032.98 6.49 31.83 20.74 4.93 13.78
DS11-13027 36 91.44 51.7 3476.83 6.59 31.17 21.55 4.78 16.25
DS11-13028 32 81.28 44.7 3006.08 6.47 30.78 20.63 5.03 14.5
DS11-13029 32 81.28 45.2 3039.7 7.59 33.12 19.74 4.85 15.79
DS11-13030 33 83.82 39.4 2649.65 6.5 31.57 20.31 4.98 14.04
DS11-13010 32 81.28 50.4 3389.4 6.89 31.33 20.93 4.87 15.68
DS11-13032 39 99.06 41.1 2763.98 6.41 31.05 20.03 5.15 12.46
DS11-13033 37 93.98 50.3 3382.68 6.46 30.54 20.92 5.03 13.72
DS11-13035 36 91.44 48 3228 6.73 31.87 20.67 4.81 15.94
DS11-13037 31 78.74 40.9 2750.53 6.57 32.9 20.22 4.82 15.85
DS11-13038 33 83.82 46.6 3133.85 6.47 31.72 20.49 4.94 13.29
DS11-13040 38 96.52 43.3 2911.93 6.45 32.58 20.4 4.85 13.5
DS11-13043 33 83.82 51.5 3463.38 6.96 31.98 20.92 4.83 15.88
DS11-13044 33 83.82 45.4 3053.15 6.52 33.64 20.58 4.69 13.87
DS11-13045 35 88.9 45 3026.25 6.27 31.44 21.08 4.89 14.33
DS11-13048 35 88.9 37.7 2535.33 6.14 30.85 20.91 5.03 11.77
Magellan 34 86.36 49 3295.25 6.99 35.23 18.93 4.71 14.04
DS11-14001 36 91.44 41.5 2790.88 6.78 33.23 20.11 4.8 14.47
DS11-14002 39 99.06 43.7 2938.83 6.81 33.71 19.64 4.81 13.18
DS11-14003 44 111.76 49.4 3322.15 6.93 35.45 18.78 4.72 16.14
DS11-14004 36 91.44 46.8 3147.3 7.38 33.24 19.79 4.83 16.11
DS11-14006 38 96.52 45.6 3066.6 7.1 33.35 19.84 4.78 15.1
DS11-14012 36 91.44 47.2 3174.2 6.52 32.52 20.23 4.89 12.72
DS11-14013 36 91.44 45.7 3073.33 6.5 33.76 19.62 4.8 14.13
DS11-14014 38 96.52 59.3 3987.93 6.73 35.51 19.13 4.67 18.18
DS11-14015 30 76.2 37.8 2542.05 6.55 33.35 20.11 4.79 14.64
DS11-14017 39 99.06 47.6 3201.1 6.58 34.15 19.65 4.77 13.52
DS11-14018 32 81.28 45.2 3039.7 6.35 33.13 19.84 4.9 16.71
DS11-14025 37 93.98 43.9 2952.28 6.4 33.21 20.19 4.8 16.71
DS11-14027 38 96.52 45.1 3032.98 6.05 32.47 19.69 4.99 14.04
DS11-14028 39 99.06 49.2 3308.7 6.72 33.37 19.43 4.84 15.28
DS11-14033 38 96.52 51.3 3449.93 6.53 33.08 19.89 4.87 15.1
DS11-14034 40 101.6 53.7 3611.33 6.72 31.16 20.85 4.91 15.39
DS11-14035 33 83.82 50.2 3375.95 6.84 34.07 19.54 4.77 16.97
DS11-14036 40 101.6 42.2 2837.95 6.65 30.81 21.29 4.92 13.93
DS11-14037 38 96.52 57.4 3860.15 6.95 34.02 18.52 4.86 14.73
DS11-14040 38 96.52 47.1 3167.48 6.86 32.76 20.14 4.86 14.53
DS11-14041 37 93.98 50.9 3423.03 6.94 32.85 19.61 4.86 15.53
DS11-14042 39 99.06 45.6 3066.6 6.81 32.04 20.59 4.9 15.16
DS11-14043 38 96.52 50.5 3396.13 6.99 33.15 20.18 4.79 14.7
DS11-14049 34 86.36 38.7 2602.58 6.92 31.85 20.3 4.89 13.27
DS11-14051 34 86.36 48.5 3261.63 6.78 32.48 20.93 4.78 15.02
DS11-14052 40 101.6 51.1 3436.48 6.95 34.17 19.84 4.72 14.5
DS11-14053 37 93.98 54.7 3678.58 6.81 33.04 19.82 4.82 15.02
DS11-14054 39 99.06 45.3 3046.43 6.77 33.08 19.8 4.87 15.62
DS11-14055 38 96.52 47.4 3187.65 6.81 32.27 20.58 4.83 15.91
DS11-14056 39 99.06 53.7 3611.33 6.87 35.34 18.95 4.71 16.68
DS11-14057 40 101.6 48.5 3261.63 7.06 35.3 19.87 4.56 16.95
DS11-14060 38 96.52 51.9 3490.28 7.07 35.95 19.38 4.58 15.5
Maverick 33 83.82 46.5 3127.13 6.45 32.91 20.22 4.83 12.46
DS11-15001 39 99.06 54.6 3671.85 6.33 30.08 21.41 4.98 11.83
DS11-15002 39 99.06 45.4 3053.15 6.54 32.61 20.77 4.78 15.96
DS11-15003 36 91.44 45.1 3032.98 6.52 31.97 20.88 4.82 12.89
DS11-15004 42 106.68 46.4 3120.4 6.57 31.51 19.98 5.01 11.63
DS11-15005 41 104.14 46.1 3100.23 6.56 32.39 20.72 4.84 12.03
DS11-15006 39 99.06 40.1 2696.73 6.48 31.98 21.11 4.87 12.78
DS11-15007 34 86.36 42.2 2837.95 6.49 34.93 19.37 4.72 12.26
DS11-15012 40 101.6 41.1 2763.98 6.45 32.48 20.4 4.86 13.12
DS11-15013 36 91.44 46 3093.5 6.51 32.4 20.3 4.86 14.18
DS11-15016 39 99.06 44.3 2979.18 6.51 31.6 20.4 4.93 13.27
DS11-15018 42 106.68 45.3 3046.43 6.72 33.28 20.19 4.81 13.61
DS11-15019 36 91.44 50.1 3369.23 6.67 32.82 20.05 4.79 15.65
DS11-15020 43 109.22 50.7 3409.58 6.56 31.9 19.94 4.99 11.63
DS11-15021 44 111.76 41.1 2763.98 6.54 31.55 19.5 5.05 13.04
DS11-15022 47 119.38 46.3 3113.68 6.21 31.32 21.69 4.84 14.18
DS11-15023 38 96.52 41.3 2777.43 6.43 32.64 20.57 4.82 11.86
DS11-15024 40 101.6 42.4 2851.4 6.3 31.34 20.56 5.01 11.57
DS11-15025 37 93.98 48.1 3234.73 6.35 30.84 20.16 5.06 11.11
DS11-15027 41 104.14 47.1 3167.48 6.31 30.48 21.57 4.97 14.01
DS11-15028 31 78.74 41.7 2804.33 6.4 32.66 20.05 4.94 12.12
DS11-15030 41 104.14 42.3 2844.68 6.28 32.6 20.88 4.76 14.1
DS11-15032 36 91.44 48.6 3268.35 6.3 32.71 20.3 4.82 14.07
DS11-15033 34 86.36 48 3228 6.24 33.39 20.87 4.72 15.1
DS11-15034 41 104.14 41.4 2784.15 6.2 35.06 19.45 4.71 12.89
DS11-15035 41 104.14 45.6 3066.6 6.12 31.86 21.04 4.83 14.21
DS11-15036 39 99.06 46.1 3100.23 6.46 32.22 20.63 4.86 12.52
DS11-15037 38 96.52 48.9 3288.53 6.86 32.21 19.89 4.9 12.72
DS11-15039 38 96.52 43.3 2911.93 6.75 32.92 20.91 4.7 15.16
DS11-15040 30 76.2 43.1 2898.48 6.75 31.92 20.96 4.79 14.61
DS11-15041 49 124.46 45.7 3073.33 6.92 31.32 20.86 4.87 12.83
DS11-15043 35 88.9 42.4 2851.4 6.78 31.3 20.96 4.87 11.26
DS11-15044 45 114.3 42.3 2844.68 6.75 30.11 21.23 5.03 11.46
DS11-15045 49 124.46 44.9 3019.53 6.8 31.48 20.68 4.92 11.69
DS11-15046 43 109.22 50.9 3423.03 6.74 32.24 21.24 4.7 16.51
DS11-17004 36 91.44 40.4 2716.9 6.27 30.68 21.44 4.95 13.44
DS11-17005 30 76.2 39.6 2663.1 6.23 32.35 21.19 4.8 13.21
DS11-17006 32 81.28 35.4 2380.65 6.21 31.22 21.32 4.91 14.07
DS11-17007 36 91.44 49.5 3328.88 6.28 34.78 18.99 4.79 16.02
DS11-17008 33 83.82 40.7 2737.08 6.71 36.05 18.79 4.7 13.84
DS11-17009 31 78.74 34.4 2313.4 6.31 33.79 19.73 4.83 12.98
DS11-17010 35 88.9 42 2824.5 6.32 33.4 20.06 4.86 11.26
DS11-17011 36 91.44 31.5 2118.38 6.45 32.93 20.9 4.72 14.16
DS11-17013 32 81.28 33 2219.25 6.29 31.86 20.7 4.92 12.49
DS11-17014 37 93.98 42.3 2844.68 6.5 34.23 20.2 4.68 14.3
DS11-17015 40 101.6 45.8 3080.05 6.4 33.69 19.91 4.79 13.5
DS11-17018 32 81.28 33.9 2279.78 6.28 32.1 20.9 4.85 12.6
DS11-17020 32 81.28 46.1 3100.23 6.44 33.45 20.56 4.75 13.61
DS11-17021 29 73.66 35.8 2407.55 6.38 31.1 20.88 4.93 11.77
DS11-17022 43 109.22 48.7 3275.08 6.31 33.82 19.17 4.91 14.07
DS11-17024 40 101.6 43.3 2911.93 6.27 30.77 20.94 4.98 13.01
DS11-17025 32 81.28 38.9 2616.03 6.34 32.33 20.56 4.91 13.06
DS11-17027 32 81.28 24.9 1674.53 6.4 33.06 20.18 4.9 11.94
DS11-17030 45 114.3 51.7 3476.83 7.05 33.5 19.96 4.78 16.54
DS11-17031 37 93.98 39.4 2649.65 6.35 33.23 20.22 4.82 12.06
DS11-17034 31 78.74 33.5 2252.88 6.39 33.47 20.09 4.79 13.44
DS11-17035 35 88.9 50.7 3409.58 6.46 33.21 20.29 4.78 14.36
DS11-17039 34 86.36 45.5 3059.88 6.14 33.52 20.34 4.79 12.75
DS11-17040 34 86.36 37.5 2521.88 6.25 31.41 20.63 4.99 12.98
DS11-17042 32 81.28 35.9 2414.28 6.54 30.9 21.02 4.89 13.44
DS11-17044 36 91.44 40.8 2743.8 6.4 32.55 20.77 4.76 15.62
DS11-17046 31 78.74 42.6 2864.85 6.15 31.7 21.29 4.83 14.79
DS11-17047 32 81.28 39.7 2669.83 6.21 32.77 20.75 4.84 13.21
DS11-17048 38 96.52 49.8 3349.05 6.24 33.86 19.32 4.89 13.18
DS11-17049 32 81.28 41.7 2804.33 6.08 32.66 20.31 4.88 14.1
DS11-17052 35 88.9 35.8 2407.55 6.68 32.21 20.68 4.87 12.75
DS11-17056 35 88.9 47.8 3214.55 6.01 32.6 20.29 4.91 13.93
DS11-17058 33 83.82 41.5 2790.88 6.09 32.01 20.64 4.94 12.63
DS11-17059 33 83.82 33.9 2279.78 6.12 32.99 20.21 4.9 13.44
DS11-17062 31 78.74 41.4 2784.15 6.01 31.17 20.35 5.09 11.92
Skylla 32 81.28 39.1 2629.48 6.65 31.2 21.53 4.82 15.42
DS11-22001 23 58.42 29.2 1963.7 6.78 32.45 20.43 4.86 13.67
DS11-22003 28 71.12 35.7 2400.83 6.52 31.37 21.75 4.77 16.57
DS11-22004 24 60.96 42.4 2851.4 6.94 32.32 20.87 4.77 14.84
DS11-22005 33 83.82 45.3 3046.43 6.53 31.67 21.68 4.72 17.92
DS11-22008 24 60.96 30.4 2044.4 6.4 29.7 21.87 4.97 13.98
DS11-22017 23 58.42 27.9 1876.28 6.15 31.83 21.72 4.74 15.57
DS11-22019 32 81.28 40.5 2723.63 5.88 31.6 21.59 4.77 15.71
DS11-22021 29 73.66 48.6 3268.35 6.62 31.42 20.5 4.94 16.33
DS11-22024 25 63.5 34.4 2313.4 6.56 30.42 22.01 4.84 14.21
DS11-22027 24 60.96 40.3 2710.18 6.76 32.51 21.08 4.74 15.71
DS11-22034 28 71.12 35.7 2400.83 6.65 31.39 21.81 4.77 15.02
DS11-22049 29 73.66 31.3 2104.93 6.64 33.07 21.63 4.62 14.18
DS11-22053 29 73.66 19.8 1331.55 6.09 31.89 21.34 4.81 17.48
DS11-22054 35 88.9 42.6 2864.85 6.36 32.5 20.86 4.83 14.7
DS11-22055 30 76.2 39.8 2676.55 6.45 31.98 21.4 4.78 14.76
DS11-22056 27 68.58 30.9 2078.03 6.67 33.35 20.33 4.77 13.52
DS11-22057 28 71.12 33.4 2246.15 6.4 31.48 20.93 4.92 13.93
DS11-22058 34 86.36 45 3026.25 6.48 32.46 20.76 4.85 13.78
DS11-22059 25 63.5 31.2 2098.2 6.4 33.21 20.18 4.83 13.64
DS11-22061 28 71.12 34.9 2347.03 6.48 32.44 20.36 4.88 13.35
DS11-22067 24 60.96 28.7 1930.08 6.31 32.37 20.83 4.84 15.05
DS11-22069 36 91.44 35.6 2394.1 6.49 33.28 20.58 4.76 14.53
DS11-22070 30 76.2 42.9 2885.03 6.35 31.24 21.39 4.83 15.36
DS11-22071 38 96.52 47 3160.75 7.06 33.34 20.66 4.73 14.56
DS11-22072 30 76.2 33.2 2232.7 6.44 32.48 20.94 4.78 13.75
DS11-22073 31 78.74 43.9 2952.28 6.5 31.46 20.54 4.95 13.35
DS11-22074 22 55.88 28.2 1896.45 6.42 33.93 20.32 4.72 16.05
DS11-22075 26 66.04 43 2891.75 6.19 31.14 21.54 4.84 12.92
DS11-22076 33 83.82 32 2152 6.39 30.06 21.38 4.94 14.13
DS11-22077 21 53.34 31.4 2111.65 6.37 33.19 20.45 4.83 14.21
DS11-22082 31 78.74 41.7 2804.33 6.39 31.77 21.38 4.77 15.42
DS11-22084 20 50.8 28.9 1943.53 6.13 32.07 21.42 4.77 15.3
DS11-22085 24 60.96 20.6 1385.35 6.03 31.02 21.88 4.82 15.05
DS11-23002 27 68.58 39.5 2656.38 6.31 33.01 21.36 4.7 14.39
DS11-23003 30 76.2 47.5 3194.38 6.41 33.03 20.59 4.78 13.7
DS11-23005 29 73.66 29.3 1970.43 6.37 32.35 21.49 4.71 11.94
DS11-23009 30 76.2 26.8 1802.3 6.38 31.79 21.19 4.89 11.8
DS11-23013 23 58.42 24.3 1634.18 6.26 33.08 21.47 4.73 13.7
DS11-23015 24 60.96 35.2 2367.2 6.3 31.5 21.29 4.87 12.89
DS11-23016 32 81.28 45.1 3032.98 6.24 31.94 21.25 4.87 14.64
DS11-23017 24 60.96 37.3 2508.43 6.23 33.66 21.47 4.6 13.67
DS11-23023 22 55.88 32.5 2185.63 6.37 34.05 21.1 4.58 13.35
DS11-23024 22 55.88 31.2 2098.2 6.03 32.69 21.17 4.76 14.61
DS11-23025 23 58.42 22 1479.5 6.36 33.61 21.32 4.61 13.04
DS11-23028 23 58.42 25.7 1728.33 6.61 32.93 21.55 4.64 13.44
DS11-23029 26 66.04 34 2286.5 6.71 33.65 20.82 4.69 14.41
DS11-23030 22 55.88 27.6 1856.1 6.86 34.86 20.93 4.5 18.5
DS11-23033 22 55.88 33.8 2273.05 6.59 32.22 21.79 4.69 11.83
DS11-23035 21 53.34 31.4 2111.65 6.53 31.99 22.18 4.65 14.41
DS11-23037 23 58.42 32 2152 6.73 30.38 22 4.8 15.33
DS11-23039 26 66.04 27.5 1849.38 6.56 27.26 22.22 5.14 10.74
DS11-23040 27 68.58 33.6 2259.6 6.54 27.67 22.09 5.12 11.74
DS11-23042 25 63.5 22.1 1486.23 6.55 28.53 21.99 5.08 10.19
DS11-23046 23 58.42 18.2 1223.95 6.5 29.43 22.29 4.86 12.66
DS11-23047 23 58.42 29.7 1997.33 6.45 30.24 21.39 4.97 12.17
DS11-23048 24 60.96 22.9 1540.03 6.23 31.39 21.55 4.81 13.5
DS11-23051 23 58.42 21.8 1466.05 6.15 30.19 21.88 4.93 11.03
DS11-23052 25 63.5 39 2622.75 6.55 29.41 21.52 5.03 12.66
DS11-23053 22 55.88 28 1883 6.6 29.23 22.03 4.96 12.89
DS11-23054 27 68.58 29.2 1963.7 6.65 32.88 21.09 4.74 14.01
DS11-23055 22 55.88 24.6 1654.35 6.59 29.78 21.94 4.92 12.75
DS11-23063 23 58.42 15 1008.75 7.07 30.8 21.6 4.84 11.37
DS11-23064 27 68.58 37 2488.25 6.87 28.9 21.89 4.99 12.12
DS11-23066 23 58.42 30 2017.5 6.67 29.34 22.08 4.97 11.34
DS11-23067 26 66.04 38.6 2595.85 6.63 28.66 22.06 5 13.18
DS11-23072 23 58.42 18.5 1244.13 6.52 28.82 22.47 4.91 13.7
LG03-2979 36 91.44 48.5 3261.63 6.58 35.1 19.85 4.64 11.69
DS11-24003 32 81.28 37.6 2528.6 6.56 33.81 20.41 4.72 12
DS11-24005 38 96.52 50.1 3369.23 6.32 34.1 20.05 4.76 12.75
DS11-24009 37 93.98 49.7 3342.33 6.2 33.12 20.08 4.89 11.77
DS11-24010 35 88.9 37.1 2494.98 6.51 33.27 19.66 4.87 11.8
DS11-24015 34 86.36 39.8 2676.55 6.54 32.79 19.98 4.89 13.15
DS11-24017 32 81.28 42.2 2837.95 6.52 33.38 19.89 4.85 12.26
DS11-24020 39 99.06 42.3 2844.68 6.56 34.11 20.76 4.66 13.21
DS11-24023 32 81.28 36.7 2468.08 6.75 35.8 18.71 4.69 12.12
DS11-24026 38 96.52 51 3429.75 6.56 32.97 20.51 4.84 13.93
DS11-24027 29 73.66 41.4 2784.15 6.66 35.2 19.72 4.64 11.17
DS11-24030 34 86.36 43.3 2911.93 6.49 31.79 21 4.88 12.03
DS11-24032 31 78.74 47.7 3207.83 6.68 33.25 20.91 4.7 14.93
DS11-24033 31 78.74 40.3 2710.18 6.5 31.64 21.23 4.82 13.52
DS11-24034 34 86.36 41.6 2797.6 6.75 36 19.03 4.63 13.27
DS11-24037 37 93.98 51 3429.75 6.58 32.88 20.43 4.81 12.32
DS11-24040 36 91.44 41.8 2811.05 6.44 31.21 21.18 4.91 13.21
DS11-24041 39 99.06 46.7 3140.58 6.35 33.15 20 4.89 11.97
DS11-24042 34 86.36 41.2 2770.7 6.26 32.67 20.32 4.88 13.47
DS11-24043 35 88.9 42.7 2871.58 6.1 33 20.48 4.9 11.86
DS11-24044 30 76.2 51.9 3490.28 6.44 31.51 21.26 4.82 15.85
DS11-24045 37 93.98 45.5 3059.88 6.42 30.78 21.55 4.87 13.41
DS11-24046 35 88.9 40.6 2730.35 6.34 30.35 21.74 4.9 11.89
DS11-24049 34 86.36 38.9 2616.03 6.4 30.34 21.57 4.89 14.84
DS11-24050 32 81.28 36.4 2447.9 6.5 33.09 20.28 4.83 12.72
DS11-24051 31 78.74 40 2690 6.55 29.94 19.85 5.24 9.79
DS11-24052 37 93.98 37.6 2528.6 6.45 32.31 21.46 4.72 16.71
DS11-24055 37 93.98 42.1 2831.23 6.48 29.59 21.25 5.03 12.2
DS11-24057 35 88.9 41.7 2804.33 6.52 31.63 20.5 5.01 11.57
DS11-24060 30 76.2 44.3 2979.18 6.22 30.48 21.49 4.93 14.04
DS11-24062 35 88.9 48.1 3234.73 6.36 30.57 21.38 4.88 12.12
DS11-24066 29 73.66 44.8 3012.8 6.69 31.33 20.43 4.97 11.34
DS11-24067 38 96.52 48.4 3254.9 6.26 32.02 20.83 4.87 13.95
DS11-24069 41 104.14 44.2 2972.45 6.61 30.74 20.43 5.02 12.98
DS11-24071 33 83.82 36.1 2427.73 6.18 33.02 20.12 4.82 11.74
DS11-24072 33 83.82 39.5 2656.38 6.51 31.8 20.87 4.86 13.32
LG03-3191 33 83.82 50.6 3402.85 7.64 35.83 18.5 4.72 14.04
DS11-25003 35 88.9 47.2 3174.2 7.41 34.59 20.19 4.68 14.53
DS11-25006 31 78.74 41.5 2790.88 6.83 34.35 18.96 4.83 11.28
DS11-25007 37 93.98 47.5 3194.38 6.66 32.72 20.75 4.8 13.64
DS11-25009 34 86.36 43.1 2898.48 6.82 33.68 20.6 4.7 12.29
DS11-25012 34 86.36 40.1 2696.73 7.06 33.32 20.59 4.72 15.07
DS11-25013 32 81.28 38.9 2616.03 6.77 34.6 19.67 4.7 11.71
DS11-25016 31 78.74 42.7 2871.58 7.01 34.6 19.03 4.8 11.94
DS11-25018 35 88.9 50.7 3409.58 6.85 33.07 19.97 4.82 12.23
DS11-25024 32 81.28 38.6 2595.85 6.85 33.45 20.21 4.74 14.27
DS11-25025 34 86.36 46.5 3127.13 6.52 32.1 20.97 4.85 12.2
DS11-25027 33 83.82 39.6 2663.1 6.65 33.27 20.09 4.79 13.52
DS11-25028 35 88.9 48 3228 6.27 33.47 20.46 4.75 13.32
DS11-25032 29 73.66 42.4 2851.4 6.5 33.04 21.41 4.64 15.16
DS11-25035 29 73.66 36.4 2447.9 6.59 34.37 21.03 4.57 13.95
DS11-25038 38 96.52 40.3 2710.18 6.93 33.26 19.35 4.94 11.31
DS11-25041 38 96.52 49.5 3328.88 6.96 32.94 19.94 4.87 12.2
DS11-25042 33 83.82 44.9 3019.53 6.93 35.86 19.79 4.55 15.02
DS11-25043 30 76.2 40.4 2716.9 6.72 33.22 21.24 4.67 13.21
DS11-25045 30 76.2 41 2757.25 6.98 32.53 20.43 4.79 13.04
DS11-25049 31 78.74 31.3 2104.93 6.73 35.06 19.98 4.62 12.06
DS11-25052 29 73.66 35.2 2367.2 6.64 34.53 21.06 4.53 14.99
DS11-25053 30 76.2 45.6 3066.6 6.69 32.84 21.22 4.74 14.24
DS11-25054 27 68.58 43.7 2938.83 6.94 33.4 20.5 4.73 15.05
DS11-25056 36 91.44 46.5 3127.13 6.92 32.75 20.28 4.82 15.62
DS11-25057 25 63.5 32.3 2172.18 6.76 32.32 20.64 4.84 12.75
DS11-25061 26 66.04 33.6 2259.6 6.55 31.14 21.69 4.8 13.15
DS11-25062 29 73.66 33.7 2266.33 6.52 32.28 20.53 4.88 11.63
DS11-25063 29 73.66 33 2219.25 6.51 32.18 21.18 4.79 13.84
DS11-25067 26 66.04 30.1 2024.23 6.68 33.22 21.36 4.62 17.43
DS11-25069 29 73.66 32.3 2172.18 6.18 30.57 21.82 4.87 14.41
DS11-25070 23 58.42 30.6 2057.85 6.5 31.63 21.28 4.8 14.39
DS11-25076 22 55.88 30.1 2024.23 6.96 32.37 21.01 4.74 14.64
DS11-25081 23 58.42 35.1 2360.48 6.49 30.27 21.57 4.93 14.41
LG04-4717 31 78.74 45.3 3046.43 6.22 32.82 20.25 4.79 12
DS11-26145 33 83.82 42 2824.5 6.16 32.21 21.04 4.8 13.29
DS11-26148 38 96.52 40 2690 6.3 32.27 20.53 4.87 12.17
DS11-26149 38 96.52 55.4 3725.65 6.35 31.25 20.76 4.95 13.93
DS11-26150 37 93.98 43.6 2932.1 6.39 32.03 20.83 4.85 14.07
DS11-26151 35 88.9 40.6 2730.35 6.45 32.18 20.92 4.81 13.21
DS11-26152 33 83.82 40.8 2743.8 6.63 32.12 20.98 4.78 13.04
DS11-26154 37 93.98 46.5 3127.13 6.34 33.38 19.86 4.87 12.92
DS11-26157 39 99.06 45.5 3059.88 6.27 31.8 20.58 4.89 13.98
DS11-26163 37 93.98 51.2 3443.2 6.33 32.31 20.13 4.96 11.17
DS11-26164 35 88.9 41 2757.25 6.35 33.06 20.8 4.72 15.28
DS11-26165 36 91.44 39.9 2683.28 6.25 31.42 20.58 4.95 12.12
DS11-26166 36 91.44 41.4 2784.15 6.33 33.29 20.34 4.83 12.72
DS11-26167 40 101.6 40.9 2750.53 6.4 33.95 19.33 4.84 10.74
DS11-26169 36 91.44 46.6 3133.85 6.23 31.02 20.88 4.89 12.49
DS11-26172 38 96.52 46.5 3127.13 6.21 31.73 20.94 4.86 12.86
DS11-26173 33 83.82 44.2 2972.45 6.32 33.37 20.57 4.72 14.3
DS11-26175 34 86.36 47.2 3174.2 6.35 32.55 20.6 4.82 12.89
DS11-26176 36 91.44 46.1 3100.23 7.44 33.38 20.46 4.76 14.87
DS11-26177 37 93.98 50.1 3369.23 6.34 33.06 20.47 4.79 12.83
DS11-26179 37 93.98 40.9 2750.53 6.55 33.4 19.8 4.8 13.01
DS11-26180 40 101.6 45.9 3086.78 6.51 32.43 20 4.92 11.51
DS11-26181 38 96.52 42.6 2864.85 6.53 32.61 20.96 4.72 14.16
DS11-26183 39 99.06 39.3 2642.93 6.92 34.02 19.86 4.75 12
DS11-26185 37 93.98 45.7 3073.33 6.56 31.52 21.16 4.8 13.93
LG05-4292 36 91.44 54.5 3665.13 6.77 34.31 19.78 4.71 14.44
DS11-27145 36 91.44 40.9 2750.53 6.86 33.3 20.48 4.73 15.68
DS11-27146 30 76.2 36.1 2427.73 6.87 32 20.96 4.82 13.09
DS11-27148 38 96.52 48.5 3261.63 6.66 31.26 20.69 4.91 13.27
DS11-27149 38 96.52 40.2 2703.45 6.49 33.79 20.13 4.77 14.1
DS11-27150 37 93.98 41.5 2790.88 6.86 32.78 20.36 4.84 12.43
DS11-27151 36 91.44 42.9 2885.03 6.39 32.54 20.47 4.84 14.61
DS11-27152 32 81.28 37.4 2515.15 6.33 31.82 21.16 4.79 15.53
DS11-27153 33 83.82 38.2 2568.95 6.44 33.48 20.29 4.76 13.32
DS11-27158 33 83.82 29.4 1977.15 6.48 31.19 21.27 4.9 14.39
DS11-27159 34 86.36 49.6 3335.6 6.59 32.07 21.13 4.79 14.79
DS11-27160 34 86.36 34.6 2326.85 6.65 32.99 19.98 4.87 15.42
DS11-27162 33 83.82 35.8 2407.55 6.65 33.57 20.07 4.76 13.58
DS11-27163 34 86.36 36.6 2461.35 7.04 33.89 19.66 4.79 13.61
DS11-27164 34 86.36 38.1 2562.23 6.66 33.41 20.41 4.75 14.61
DS11-27168 35 88.9 44.3 2979.18 6.79 34.04 19.42 4.88 12.83
DS11-27169 37 93.98 48.9 3288.53 6.53 30.54 20.76 5.04 12.78
DS11-27170 35 88.9 45.7 3073.33 6.53 31.91 20.78 4.86 14.73
DS11-27171 33 83.82 41.2 2770.7 6.71 34.53 19.38 4.76 13.09
DS11-27172 33 83.82 38.4 2582.4 6.69 33.77 20.26 4.77 13.21
DS11-27173 38 96.52 45 3026.25 6.63 33.48 20.25 4.78 14.53
DS11-27174 30 76.2 36.9 2481.53 6.66 33.03 20.89 4.73 15.25
DS11-27175 31 78.74 31.5 2118.38 6.67 32.07 20.55 4.9 12.98
DS11-27176 30 76.2 39.3 2642.93 6.72 33.6 20.39 4.74 13.38
DS11-27177 36 91.44 44.8 3012.8 6.74 33.06 20.16 4.8 16.85
DS11-27178 32 81.28 37 2488.25 6.78 33.66 20.27 4.74 13.04
DS11-27179 34 86.36 36.7 2468.08 6.82 34.16 19.24 4.81 13.87
DS11-27180 35 88.9 35.3 2373.93 6.67 33.68 20.45 4.72 12.29
DS11-27181 31 78.74 41.4 2784.15 5.67 34.46 21.38 4.63 14.36
DS11-27182 38 96.52 46.7 3140.58 6.56 32.22 20.41 4.88 13.52
