Corrected_Strain Ht_.in. Ht_.cm. Yld_.bu.a. Yld_.kg.ha. Moisture Protein Oil Fiber X100_sdwt_.g.
DS11-04017 30 76.2 38.6 2595.85 7.59 30 21.16 4.97 13.93
DS11-04023 28 71.12 42.4 2851.4 7.38 28.45 21.75 4.99 16.34
DS11-04027 30 76.2 40.3 2710.18 7.27 28.55 21.27 5.1 13.21
DS11-04028 31 78.74 44.9 3019.53 7.41 30.85 20.73 4.91 15.45
DS11-04029 30 76.2 39.9 2683.28 7.48 30.89 20.69 4.91 12.63
DS11-04030 29 73.66 41.1 2763.98 7.18 31.18 20.56 4.94 12.2
DS11-04032 34 86.36 39.2 2636.2 6.81 29.98 20.75 5.06 11.97
DS11-04033 27 68.58 42 2824.5 7.01 29.64 21.65 4.9 14.59
DS11-04035 32 81.28 45.9 3086.78 7.19 28.68 21.08 5.09 14.47
DS11-04036 29 73.66 44.4 2985.9 7.26 28.96 20.92 5.07 13.75
DS11-04037 30 76.2 42.6 2864.85 7.49 30.03 20.93 4.98 13.41
DS11-04039 34 86.36 40.3 2710.18 7.38 29.04 21.63 4.99 13.9
DS11-04040 30 76.2 43 2891.75 7.31 31.76 20.76 4.85 15.96
DS11-04041 30 76.2 45.4 3053.15 7.47 29.73 20.74 5.03 14.44
DS11-04043 36 91.44 45.3 3046.43 7.7 32.96 19.56 4.86 14.56
DS11-04044 30 76.2 42.9 2885.03 7.45 30.18 20.89 4.97 13.44
DS11-04045 32 81.28 42.2 2837.95 7.41 29.22 21.26 5 12.89
DS11-04047 32 81.28 39 2622.75 7.58 30.06 20.07 5.09 12.81
DS11-04048 31 78.74 39.6 2663.1 7.55 29.22 20.86 5.04 13.15
DS11-04049 32 81.28 41.8 2811.05 7.45 29.3 21.31 5.03 12.92
DS11-04050 33 83.82 42.8 2878.3 7.49 31.47 20.1 4.93 13.98
DS11-04051 29 73.66 40.3 2710.18 7.45 29.02 21.29 5.08 12.49
DS11-04053 28 71.12 42.2 2837.95 7.42 29.99 21.25 4.9 14.73
CL0J095-4-6 33 83.82 47.5 3194.38 6.91 34.26 20.02 4.68 12.26
DS11-05001 30 76.2 29.7 1997.33 6.75 28.96 21.78 5.01 10.94
DS11-05002 29 73.66 37.2 2501.7 6.66 33.08 20.94 4.69 13.7
DS11-05004 32 81.28 30.5 2051.13 6.76 30.36 21.12 5.03 11.94
DS11-05006 28 71.12 33.9 2279.78 6.97 36.88 20.16 4.39 13.75
DS11-05007 34 86.36 41.8 2811.05 6.93 34.75 19.96 4.65 15.59
DS11-05008 25 63.5 35.5 2387.38 6.68 31.73 21.11 4.84 11.94
DS11-05009 26 66.04 32.7 2199.08 6.81 32.36 20.58 4.9 9.96
DS11-05010 32 81.28 35.1 2360.48 6.71 31.36 20.87 4.86 16.31
DS11-05011 27 68.58 40.1 2696.73 6.69 32.22 21.08 4.78 13.47
DS11-05012 27 68.58 34.7 2333.58 6.8 35.31 19.86 4.63 11.83
DS11-05013 33 83.82 39.2 2636.2 6.97 36.07 19.93 4.5 15.53
DS11-05015 26 66.04 39 2622.75 6.92 33.11 20.56 4.78 12.95
DS11-05016 28 71.12 33.8 2273.05 6.59 31.1 21.25 4.88 14.18
